,selected_features
0,brake_mean
1,brake_iqrange
2,brake_skewness
3,brake_kurtosis
4,brake_peaks
5,brake_acc_std
6,brake_acc_q95
7,brake_acc_kurtosis
8,brake_jerk_max
9,brake_jerk_kurtosis
10,brake_vel_kurtosis
11,gas_min
12,gas_acc_iqrange
13,gas_jerk_mean
14,gas_vel_max
15,gas_vel_iqrange
16,gas_vel_rms
17,steer_min
18,steer_max
19,steer_iqrange
20,steer_kurtosis
21,SteerSpeed_q95
22,SteerSpeed_iqrange_5_95
23,SteerSpeed_peaks
24,SteerSpeed_acc_mean
25,SteerSpeed_acc_max
26,SteerSpeed_acc_q95
27,SteerSpeed_acc_peaks
28,SteerSpeed_jerk_max
29,SteerSpeed_jerk_q95
30,SteerSpeed_jerk_iqrange_5_95
31,acc_mean
32,acc_jerk_std
33,acc_jerk_peaks
34,acc_jerk_rms
35,latvel_acc_iqrange_5_95
36,latvel_jerk_iqrange_5_95
37,latvel_jerk_skewness
38,YawRate_acc_mean
39,YawRate_jerk_std
40,YawRate_jerk_rms
41,YawRate_mean
42,YawRate_iqrange_5_95
43,YawRate_kurtosis
44,YawRate_rms
